ad_archive_id,claims
1116312722921043,null
1927068471043142,"{""Claims"": [""This is a fight between the vision of unity and integration"", ""The majority multiethnic front in the country represents this vision"", ""VMRO DPMNE-JA represents the vision of isolation and hatred""]}"
437943508751645,"{""Claims"": [""The presidential elections in North Macedonia have started with seven candidates running for the President's office."", ""Citizens are already comparing programs, promises, and debates to make their decisions."", ""Gordana Siljanovska Davkova (68) from VMRO-DPMNE and current President Stevo Pendarovski (61) from LSDM are the most prominent candidates in the Macedonian political camp.""]}"
802106028640560,"{""Claims"": [""Hungary is the richest country in Europe"", ""The Social Democratic Party of Macedonia (LSDM) and the Democratic Union for Integration (BDI) are going into opposition""]}"
1006631041032140,"{""Claims"": [""A new church is being built in Prevalec"", ""New sports facilities and urban equipment are being installed in Prevalec"", ""The area will be urbanized and developed, providing citizens with leisure activities and sports options""]}"
382415011367838,"{""Claims"": [""The city of Veles would not be what it is without these market vendors."", ""Citizens are disillusioned with this government and the economic catastrophe they have caused."", ""We will need a strong battle to stabilize the economy.""]}"
392256060253215,"[""It is a great honor to be part of the winning candidate list for MPs on VMRO-DPMNE in IE3, together with the head of the list @[100063774981830:2048:Dragan Kovachki] and the chairman of @[100064549278459:2048:VMRO-DPMNE OK VELLES] and current MP in the Assembly of the Republic of North Macedonia, @[100063889660044:2048:Igor Zdravkovski]."", ""Great gratitude to the president of VMRO-DPMNE and current prime minister of North Macedonia, @[100044158072981:2048:Hristijan Mickoski], for the trust shown."", ""We have a great program and big motivation. We need it in North Macedonia!""]"
795173398649698,"{""Claims"": [""The candidate is a member of VMRO-DPMNE"", ""The candidate represents the interests of the Macedonian people"", ""The candidate will work to preserve and strengthen national identity""]}"
1153390438992004,"[{""Claims"": [""VMRO-DPMNE has a double advantage over LSDM in the upcoming Macedonian presidential and parliamentary elections"", ""BDI is expected to emerge as a winner in the Albanian political camp, with Bujar Osmani likely to win"", ""Surveys of public opinion are important but can be influenced by financial backing from political parties""]}]"
369290982662369,"[{""Claims"": [""President Stevo Pendarovski will run for a second term with support from LSDM."", ""Gordana Siljanovska Davkova, a deputy from VMRO-DPMNE, will also run again after five years."", ""Arben Taravari has been officially promoted as a presidential candidate by the VLEN coalition.""]}]"
