ad_archive_id,claims_to_questions
1747310152446379,"{""Police station reports are always an inspiration for many questions from all council groups, without exception."": {""Questions"": [""What is the statement claiming about police station reports?"", ""What are the candidates promising in their campaigns for the North Macedonian presidential election?"", ""What does the article mention as the concerns of the electoral arena?""]}, ""The reason the annual report is 5 pages shorter than the 6-monthly one is because some sensitive data was moved to other sections."": {""Questions"": [""What is the reason for the difference in length between the annual report and the 6-monthly one?"", ""How do the presidential candidates' promises and slogans align with their political ideologies?"", ""What specific policies or initiatives are offered by the presidential candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""There were only 2 fines issued for noise music complaints in 2023."": {""Questions"": [""What is the source of the information about only 2 fines issued for noise music complaints in 2023?"", ""Is there any correlation between the number of fines and the type of music played (noise music) in the specified year?"", ""Do any specific regulations or laws govern noise levels in public spaces, and if so, what are they?""]}}"
959186065585942,"{""Gratitude to Olaf Scholz for great support towards SDSM, Dimitar Kovachevski and our president Stevo Pendarovski"": {""Questions"": [""What is the relationship between Olaf Scholz and SDSM?"", ""Who are the seven presidential candidates in the Macedonian elections, and what do they offer?"", ""What are the key promises or slogans being offered by presidential candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""Voting for SDSM and the Coalition for European Perspective means voting for a victory of European Macedonia"": {""Questions"": [""What is the exact meaning of 'victory of European Macedonia' in the claim?"", ""Are the candidates offering a range of promises and slogans to attract voters, as mentioned in the passage?"", ""Who are the 7 presidential aspirants competing for the post of President of North Macedonia, according to the passage?""]}, ""Greatest thanks to Olaf Scholz for his immense support directed towards SDSM, Dimitar Kovachevski and our President Stevo Pendarovski"": {""Questions"": [""How does Olaf Scholz's support relate to SDSM and the Macedonian government?"", ""What are the key promises made by the presidential candidates in North Macedonia, specifically Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""Can you confirm or deny that seven aspirants are vying for the presidency of North Macedonia?""]}}"
368017916234325,"{""Golema \u0431\u043b\u0430\u0433\u043e\u0434\u0430\u0440\u043d\u043e\u0441\u0442 \u0434\u043e @[100044372771750:2048:Olaf Scholz] \u0437\u0430 \u043d\u0435\u0433\u043e\u0432\u0430\u0442\u0430 \u0433\u043e\u043b\u0435\u043c\u0430 \u043f\u043e\u0434\u0434\u0440\u0448\u043a\u0430 \u0443\u043f\u0430\u0442\u0435\u043d\u0430 \u043a\u043e\u043d \u0421\u0414\u0421\u041c"": {""Questions"": [""Why is Olaf Scholz being thanked for his support?"", ""What are the main presidential candidates offering in terms of promises and slogans?"", ""What specific attributes should the next President of North Macedonia possess?""]}, ""The vote for SDSM and the European Coalition means a vote for the victory of European Macedonia."": {""Questions"": [""What is the relevance of SDSM's vote to the victory of European Macedonia?"", ""What are the concrete promises and slogans offered by the presidential candidates"", ""Do the seven aspirants for the presidency position have a clear outline of what attributes the next President of North Macedonia should possess?""]}, ""This big thank you to @[100044372771750:2048:Olaf Scholz] for his great support directed towards SDSM"": {""Questions"": [""What is the relationship between Olaf Scholz and SDSM?"", ""What are the key issues in the North Macedonia presidential election campaign?"", ""What are the main promises and slogans being offered by the presidential candidates?""]}}"
1205178073800809,"{""Olaf Scholz's great support is appreciated."": {""Questions"": [""What is the context of Olaf Scholz's great support being appreciated?"", ""In what country are presidential candidates offering a wide range of promises and slogans to attract voters?"", ""Who are the seven aspirants competing for the presidency in North Macedonia?""]}, ""The vote for SDSM and the European Identity Coalition means a vote for the victory of European Macedonia."": {""Questions"": [""How does the vote for SDSM and the European Identity Coalition relate to the victory of European Macedonia?"", ""What specific attributes should the next President of North Macedonia possess, according to the current election dilemma?"", ""What promises or slogans are being offered by the presidential candidates, including Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""Giving one's vote to SDSM and the European Identity Coalition means giving one's vote for the victory of European Macedonia."": {""Questions"": [""What does the claim explicitly state about the outcome of voting for SDSM and the European Identity Coalition?"", ""In what sense is the victory of 'European Macedonia' being referred to in the claim?"", ""Do the candidates mentioned in the claim have any specific promises or slogans that they are offering to voters?""]}}"
354296314293772,"{""All EU citizens enjoy access to a high level of education, which is free or low-cost for the majority."": {""Questions"": [""What percentage of EU citizens pay low-cost or no tuition fees for education?"", ""Do all EU countries have the same level of education funding and accessibility?"", ""Is it true that most EU citizens enjoy access to a high level of education, which is free or low-cost for the majority?""]}, ""The European Union guarantees the freedom of movement and residence for all its citizens."": {""Questions"": [""What is the specific scope of freedom of movement and residence guaranteed by the European Union?"", ""Can you provide evidence that all EU citizens are granted this freedom, or is there a condition or limitation?"", ""Do all EU citizens enjoy equal treatment in terms of freedom of movement and residence, regardless of their nationality or membership status?""]}, ""All EU citizens have access to comprehensive and effective healthcare services."": {""Questions"": [""What is the percentage of EU citizens who have access to comprehensive and effective healthcare services?"", ""Is there a universal healthcare system in all EU countries, or are there variations between member states?"", ""To what extent do EU citizens rely on private health insurance or out-of-pocket payments for medical care?""]}}"
952120736389685,"{""Macedonia deserves European identity!"": {""Questions"": [""What is the current European identity crisis in Macedonia?"", ""Who are the main presidential candidates in the North Macedonian election and what are their promises?"", ""Is there a specific attribute that the next President of North Macedonia should possess, as mentioned in the claim?""]}, ""Our generation and especially our children deserve a European identity!"": {""Questions"": [""What is the specific European identity that the claimant suggests our generation and children deserve?"", ""Are the candidates in the Macedonian presidential election making promises and slogans to attract voters, as claimed?"", ""What are the concrete offers made by the seven aspirants competing for the presidency, as mentioned in the article?""]}, ""We guarantee average salary of 1,100 euros and minimum wage of 600 euros"": {""Questions"": [""What is the average salary guaranteed by the claim?"", ""Is 600 euros mentioned as a minimum wage in the claim?"", ""Does the claim mention any candidates for the presidential election in North Macedonia?""]}}"
396351953314165,"{""We believe a leader like Stevo Pendarovski is needed, someone we can rely on and who stands side by side with every citizen. We vote for number 1\ufe0f\u20e3 on April 24."": {""Questions"": [""What is the main quality Stevo Pendarovski should possess as a future President of North Macedonia?"", ""How do the presidential candidates differ in their promises and slogans?"", ""What are the concrete offers made by Biljana Vankovska, Maksim Dimitrievski, Stef\u00e7e Jakimovski, and Stevo Pendarovski as presidential candidates?""]}}"
967140451295680,"{""We demonstrated genuine perseverance and bravery on our path to EU membership."": {""Questions"": [""What evidence is provided to support the claim that Albania demonstrated genuine perseverance and bravery on its path to EU membership?"", ""Is there any connection between the presidential election in North Macedonia and the original claim about Albania's EU membership bid?"", ""What are the specific promises or slogans being offered by the candidates in the North Macedonian presidential election, and how do they relate to the original claim?""]}, ""Our European dream still endures, and our goal remains the same."": {""Questions"": [""What is the main goal of the presidential candidates in North Macedonia?"", ""What are the key attributes that a future President of North Macedonia should possess, according to the claim?"", ""Are the presidential candidates in North Macedonia offering specific promises and slogans to attract voters?""]}, ""We will never give up on the European path because we are committed to our strategic goal."": {""Questions"": [""Is the claim 'We will never give up on the European path' supported by evidence?"", ""What are the key promises and slogans offered by presidential candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""Do the presidential candidates have a clear plan to achieve their strategic goals?""]}}"
4674457862779324,"{""This is a vote for European Macedonia"": {""Questions"": [""Is the claim about a vote for European Macedonia referencing a real event or election?"", ""Are the candidates mentioned in the article offering a wide range of promises and slogans during their campaign?"", ""When did the presidential election campaign start, according to the text?""]}, ""Together we have vision and plan to bring Macedonia into the European Union"": {""Questions"": [""What is the current political vision and plan to bring Macedonia into the European Union?"", ""What are the key attributes that a future President of North Macedonia should possess?"", ""What specific promises or slogans do the presidential candidates offer to attract voters?""]}, ""We are determined, willing, brave and knowledgeable to ensure European destiny for our country and all citizens"": {""Questions"": [""What is the specific attribute that the next President of North Macedonia should possess?"", ""How do the candidates plan to achieve their promises and slogans during the election campaign?"", ""What are the key differences between the seven presidential hopefuls vying for the top office, including Biljana Vankovskaja, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}}"
446303441400950,"{""Sijanovska is fully in the matrix of DPMNE and incites harm towards Pendarevski and Kovachevski."": {""Questions"": [""What evidence is there to support the claim that Sijanovska is fully in the matrix of DPMNE?"", ""Are Pendarevski and Kovachevski public figures or politicians who have been subject to harm incited by Sijanovska?"", ""Do the presidential candidates mentioned (Vankovsk\u00ebn, Dimitrievski, and Jakimovski) have a clear platform and specific promises they are offering to voters?""]}, ""Personal discreditations for people with a female gender, harms to intellectual capacities expressed by Sijanovska do not apply to professors or politicians."": {""Questions"": [""What specific evidence or data does the claim provide to support the idea that personal discreditations for people with a female gender do not apply to professors or politicians?"", ""How is it possible that Sijanovska's findings on intellectual capacities being harmed by personal discreditations only apply to individuals outside of academia and politics, if they are based on scientific research?"", ""What is the main argument or logic behind the claim that personal discreditations for people with a female gender do not harm their intellectual capacities in the context of professors and politicians?""]}, ""Mistakes are about representing a vision, offering something to citizens, rather than inciting harm and personal discreditations."": {""Questions"": [""What does the speaker mean by 'Mistakes are about representing a vision, offering something to citizens, rather than inciting harm and personal discreditations.'?"", ""What is the main concern in the Macedonian presidential election campaign according to the author?"", ""What specific promises do the presidential candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski offer?""]}}"
413936974576258,"{""The airport is with President Stevo Pendarovski"": {""Questions"": [""What is the relationship between the airport and President Stevo Pendarovski?"", ""In what ways do the presidential candidates differ in their promises and slogans?"", ""What are the specific proposals made by the seven presidential candidates currently running?""]}, ""The airport belongs to President Stevo Pendarovski"": {""Questions"": [""What is the current president of North Macedonia?"", ""Who are the candidates running for the presidential election in North Macedonia?"", ""Is there a specific airport mentioned as belonging to President Stevo Pendarovski?""]}, ""The airport is owned by President Stevo Pendarovski"": {""Questions"": [""What is the relationship between President Stevo Pendarovski and the airport?"", ""In what way do presidential candidates in North Macedonia offer a range of promises and slogans to attract voters?"", ""What are the concrete proposals offered by the seven aspirants competing for the presidency in North Macedonia?""]}}"
1146589880118487,"{""We should reduce spending for walking to #\u0412\u043e\u0434\u043d\u043e, together with our citizens and we used the opportunity to discuss what concerns citizens."": {""Questions"": [""What is the purpose of reducing spending for walking to #\u0412\u043e\u0434\u043d\u043e?"", ""What concerns do citizens have, and how did they discuss them with the government?"", ""What are the specific promises or slogans being offered by presidential candidates Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""Continuing on the European path is the only alternative for substantial and positive changes in our country."": {""Questions"": [""What specific changes are being proposed by the presidential candidates in North Macedonia?"", ""How do the current candidates differ from each other in terms of their policy offerings?"", ""What concrete actions are being promised by the presidential candidates in North Macedonia to bring about positive change?""]}, ""We will not give up on European integration and building a better society for citizens."": {""Questions"": [""What does the claim 'We will not give up on European integration and building a better society for citizens' have to do with the Macedonian presidential election?"", ""What is the main focus of the candidates in the Macedonian presidential election?"", ""Who are the seven aspirants running for the position of President of North Macedonia, as mentioned in the article?""]}}"
802323778442410,"{""He has a clear vision for the European identity of the state"": {""Questions"": [""Is the statement 'He has a clear vision for the European identity of the state' supported by evidence?"", ""What is the main issue in the North Macedonian presidential election, according to the author?"", ""Do the candidates offer specific promises and slogans to attract voters, or are they just generic statements?""]}, ""Membership in EU and NATO is strongly supported"": {""Questions"": [""Is the statement 'Membership in EU and NATO is strongly supported' a direct quote from the article?"", ""Does the article mention specific presidential candidates or parties, such as Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""Does the article provide concrete details about what these presidential candidates are offering?""]}, ""Being a true president to all citizens, regardless of ethnic, religious or other affiliation"": {""Questions"": [""What is the main issue dominating the presidential election in North Macedonia?"", ""Which candidates are running for president and what are their promises?"", ""What specific attributes should a future President of North Macedonia possess?""]}}"
345081434704628,"{""The vote for Stevo and the Coalition for European Identity is a vote for a European Macedonia"": {""Questions"": [""What is the connection between the vote for Stevo and the Coalition for European Identity?"", ""How do the presidential candidates' promises and slogans relate to their electoral strategy?"", ""Can you provide specific information about what each of the seven aspirants (Biljana Vankovsk\u00ebn, Maksim Dimitrievski, Stef\u00e7e Jakimovski, etc.) are offering as president?""]}, ""Together with our president Stevo Pendarovski, we have a vision and plan to bring Macedonia into the European Union"": {""Questions"": [""Is the claim that Stevo Pendarovski is the current president of Macedonia accurate?"", ""What is the main focus of the electoral campaign in North Macedonia, according to the article?"", ""Do the presidential candidates mentioned (Biljana Vankovsk\u00ebn, Maksim Dimitrievskin, and Stef\u00e7e Jakimovskin) have a concrete plan or proposal for bringing North Macedonia into the European Union?""]}, ""We are resolute, we have willpower, bravery, and knowledge to ensure European identity in the country, for all citizens, for present and future generations"": {""Questions"": [""What is the relationship between 'European identity' and the mentioned presidential candidates?"", ""Can the President-elect of North Macedonia be attributed with certain qualities (e.g. willpower, bravery) to ensure European identity?"", ""What are the concrete promises and slogans offered by the seven presidential aspirants?""]}}"
412339098080713,"{""Only the eurointegration process can bring positive changes and a better living standard to the country."": {""Questions"": [""What evidence is there that the European integration process has led to positive changes and a better living standard in the past?"", ""How do the presidential candidates' promises and slogans relate to their potential impact on the country's living standard?"", ""What specific policies or actions have been proposed by the current presidential candidates to improve the country's living standard?""]}, ""We have a specific and clear plan that will move the country forward towards the EU."": {""Questions"": [""What is the specific plan to move the country forward towards the EU?"", ""What promises and slogans are being offered by presidential candidates?"", ""What do these candidates specifically offer as concrete solutions?""]}, ""The people's choice is whether we will progress or get stuck again in the past."": {""Questions"": [""Is the presidential election in North Macedonia a choice between progress and staying stuck in the past?"", ""What are the main differences between the candidates running for president in North Macedonia?"", ""Are there any specific issues or attributes that the next President of North Macedonia should prioritize?""]}}"
651759777088419,"{""The current president Stevo Pendarovski has the ability to be acquainted with some of the program material"": {""Questions"": [""Is Stevo Pendarovski the current president?"", ""Does the presidential candidate need to possess certain attributes?"", ""Are there any specific promises or slogans offered by candidates in the North Macedonia's presidential election?""]}, ""He has good people, positive energy and atmosphere, warm welcome for Vevchanski hosts who know how to recognize someone who genuinely cares about the people and the state"": {""Questions"": [""How does the claim describe the hosts Vevchanski, and what is their role in recognizing someone who genuinely cares about people and the state?"", ""What kind of promises or slogans do presidential candidates typically offer during election campaigns?"", ""What are the specific characteristics that a future President of North Macedonia should possess, according to the article?""]}, ""Every family will be visited in the coming period to become familiar with the program"": {""Questions"": [""What is the purpose of the program that every family will be visited to become familiar with?"", ""In what ways do the presidential candidates differ in their promises and slogans?"", ""What specific qualifications or attributes should the next President of North Macedonia possess, according to this article?""]}}"
825893472916672,"{""Vladata led by SDSM is dividing 700,000 denari for citizens of Aerodrom municipality."": {""Questions"": [""How does the claim that Vladata led by SDSM is dividing 700,000 denari for citizens of Aerodrom municipality align with available information on municipal funding?"", ""What specific promises or slogans do the presidential candidates offer to attract voters?"", ""Are there any notable differences in the campaign promises and slogans offered by Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""SDSM is equally concerned with citizens of all municipalities in the state, contrary to false accusations by VMRO-DPMNE in Aerodrom."": {""Questions"": [""Is it true that SDSM is equally concerned with citizens of all municipalities in the state?"", ""Does VMRO-DPMNE's accusation against SDSM in Aerodrom have any factual basis?"", ""Can the presidential candidates' promises and slogans be verified independently to ensure their credibility?""]}, ""The government led by SDSM shows on action how it cares for all citizens, without having any political-party, ethnic, or other priorities."": {""Questions"": [""What specific evidence does the government led by SDSM provide to support its claim that it cares for all citizens equally?"", ""How do the party affiliations of the candidates (e.g. Biljana Vankovsk\u00ebn from E Majta) influence their campaign promises and slogans?"", ""Do the candidates' campaign promises and slogans address any specific issues or concerns affecting different groups of citizens in North Macedonia?""]}}"
451636927205443,"{""Nikola Gruevski and Hristiyan Mitzkoski use brutal suppression of journalists and attempts to silence and intimidate, as well as manipulation of citizens through fake news and rigged polls."": {""Questions"": [""What is the evidence for the claim that Nikola Gruevski and Hristiyan Mitzkoski use brutal suppression of journalists and attempts to silence and intimidate?"", ""Are there any specific examples or instances where citizens were manipulated through fake news or rigged polls in North Macedonia?"", ""Do the candidates running for President of North Macedonia have a track record of promoting transparency, media freedom, and fair competition in their campaigns?""]}, ""Citizens can prevent these methods from being used in elections on 24 April and then again on 8 May."": {""Questions"": [""What is the significance of dates 24 April and 8 May mentioned in the claim?"", ""What are the main promises and slogans that presidential candidates are offering to attract voters?"", ""What specific qualifications or attributes should the next President of North Macedonia possess, as per the dilemma posed?""]}, ""Voting for the Coalition for European Identity and Stevo Pendarovski is a vote for EU membership, freedom, democracy, and a European living standard."": {""Questions"": [""What is the specific attribute that the next President of North Macedonia should possess?"", ""How do the candidates' promises and slogans align with the claim's statement about EU membership, freedom, democracy, and a European living standard?"", ""Is there any evidence to support the claim that voting for Stevo Pendarovski would result in EU membership, freedom, democracy, and a European living standard?""]}}"
7220380881416654,"{""For more information, follow us."": {""Questions"": [[""What is the main topic discussed in the article?"", ""Is the election campaign started on April 4th?"", ""Who are the seven presidential candidates mentioned in the text?""]]}}"
812638754042699,"{""Hristijan Mickoski is using brutal repression of journalists and attempts to silence and intimidate them."": {""Questions"": [""What is the evidence for 'brutal repression' against journalists by Hristijan Mickoski?"", ""Is there any attempt to silence or intimidate journalists in the context of the Macedonian presidential election?"", ""Are there specific promises and slogans being offered by the candidates running in the Macedonian presidential election?""]}, ""Nikola Gruevski's methods include propaganda, media abuse, spreading false news, and manipulated polls to manipulate citizens."": {""Questions"": [""Does the claim that Nikola Gruevski's methods include propaganda, media abuse, spreading false news, and manipulated polls to manipulate citizens have factual support?"", ""Do the presidential candidates in North Macedonia offer a wide range of promises and slogans with the aim of attracting voters?"", ""Are there any specific initiatives or policies offered by the seven aspirants vying for the presidency position in North Macedonia?""]}, ""Citizens' votes on April 24th and May 8th can be stopped."": {""Questions"": [""What is the relationship between the April 24th and May 8th votes and the ability to stop them?"", ""Can presidential candidates in North Macedonia offer a wide range of promises and slogans to attract voters?"", ""What specific characteristics or qualifications do these seven presidential aspirants possess, namely Biljana Vankovski, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}}"
